"id","source","pmid","doi","title","authorString","journalTitle","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","pmcid","issue","journalVolume","versionNumber"
"40659022","MED","40659022","10.1016/s2352-4642(25)00131-2","Target trial emulation in paediatric research: how can causal effects be estimated from observational data?","Robinson CH, Fan E, Grandi SM, Urner M, Parekh RS.","Lancet Child Adolesc Health","2025","2352-4642; 2352-4650; ","S2352-4642(25)00131-2","review; journal article","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-07-15","2025-07-10",NA,NA,NA,NA
"40597396","MED","40597396","10.1186/s13054-025-05515-3","Missing the target in target trial emulation.","Urner M, Fan E.","Crit Care","2025","1364-8535; 1466-609x; ","266","letter; comment","Y","Y","Y","Y","N","N",1,"Y","N","N","N","N","2025-07-03","2025-07-01","PMC12218830","1","29",NA
"40682188","MED","40682188","10.1186/s13054-025-05567-5","Missing the target in target trial emulation: the authors reply.","Ling RR, Chen Y, Shekar K, Brodie D, MacLaren G, Ramanathan K.","Crit Care","2025","1364-8535; 1466-609x; ","311","letter; comment","Y","Y","Y","Y","N","N",0,"Y","Y","N","N","N","2025-07-20","2025-07-18","PMC12273013","1","29",NA
"40695705","MED","40695705","10.1016/j.clbc.2025.06.008","Thirty-Five-Year Follow-Up Real-World Data Revealed the Efficacy of Autologous Formalin-Fixed Tumor Vaccine on Metastatic Breast Cancer-A Target Trial Emulation.","Kuranishi F, Miyazaki T, Tagashira T, Fujii A, Yuba M, Miyake I, Fujita T, Suzuki T, Masuda H, Makihata T, Nakagou S, Ohno T.","Clin Breast Cancer","2025","1526-8209; 1938-0666; ","S1526-8209(25)00178-8","letter","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-07-24","2025-06-27",NA,NA,NA,NA
"40311676","MED","40311676","10.1016/j.cmi.2025.04.027","Target trial emulation framework: mitigating methodological challenges and application in COVID-19 treatment evaluation studies.","Martinuka O, le Cessie S, Wolkewitz M.","Clin Microbiol Infect","2025","1198-743x; 1469-0691; ","S1198-743X(25)00190-9","review; journal article","N","N","N","N","N","N",0,"Y","Y","N","Y","N","2025-05-02","2025-04-29",NA,NA,NA,NA
"40343984","MED","40343984","10.1093/bjd/ljaf179","Hormone therapy and increased risk of psoriasis in reproductive-age and postmenopausal women: a nationwide cohort study and target trial emulation.","Yang HW, Chen YH, To SY, Wen YL, Kao S, Chen LH, Kao LT.","Br J Dermatol","2025","0007-0963; 1365-2133; ","259-266","journal article","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-05-10","2025-07-01",NA,"2","193",NA
"40526989","MED","40526989","10.1016/j.psychres.2025.116592","Efficacy and safety of GLP1-ras compared to SGLT2is and DPP-4is in individuals with schizophrenia and diabetes: A Danish nationwide target-trial emulation study.","Jacobsen SL, Köhler-Forsberg O, Danielsen AA, Rohde C.","Psychiatry Res","2025","0165-1781; 1872-7123; ","116592","journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-06-18","2025-06-09",NA,NA,"351",NA
"40607703","MED","40607703","10.1097/sla.0000000000006825","Transcarotid Artery Revascularization Versus Carotid Endarterectomy With and Without High-Risk Criteria: A National Target Trial.","Sakowitz S, Vadlakonda A, Bakhtiyar SS, Sanaiha Y, Coaston T, deVirgilio C, Malas M, Benharash P.","Ann Surg","2025","0003-4932; 1528-1140; ",NA,"journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-07-09","2025-07-03",NA,NA,NA,NA
"PPR1046684","PPR",NA,"10.1101/2025.07.03.25330841","Estimating the effect of adhering to Canada’s Food Guide 2019 recommendations in older adults: a target trial emulation","Brassard D, Presse N, Chevalier S.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-07-07","2025-07-05",NA,NA,NA,NA
"40690769","MED","40690769","10.7326/annals-24-02648","Glucagon-Like Peptide-1 Receptor Agonists and Incidence of Dementia Among Older Adults With Type 2 Diabetes : A Target Trial Emulation.","Inoue K, Saliba D, Gotanda H, Moin T, Mangione CM, Klomhaus AM, Tsugawa Y.","Ann Intern Med","2025","0003-4819; 1539-3704; ",NA,"journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-07-22","2025-07-22",NA,NA,NA,NA
"40208224","MED","40208224","10.1164/rccm.202501-0240ed","A New Target from a Target Trial Emulation: Allow Early Assisted Breathing.","Admon AJ, Yarnell CJ.","Am J Respir Crit Care Med","2025","1073-449x; 1535-4970; ","895-897","comment; editorial","Y","Y","Y","Y","N","N",0,"Y","N","N","Y","N","2025-04-10","2025-06-01","PMC12175917","6","211",NA
"PPR1026854","PPR",NA,"10.1101/2025.05.25.25328318","Effect of caesarean birth on perinatal mortality for singleton breech presentation in spontaneous preterm labour – a target trial emulation using Scottish health record data.","Alexander R, Bhaskar S, Azcoaga-Lorenzo A, Fagbamigbe AF, Chow CY, Kuan KK, Stock SJ, Unger SA, Swallow B, McCowan C, Unger H.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-05-29","2025-05-26",NA,NA,NA,NA
"40436352","MED","40436352","10.1016/j.diabres.2025.112283","Comparative effectiveness of different glycemic criteria for the diagnosis of gestational diabetes mellitus: a target trial emulation.","Cao Z, Wang T, Qu X, Dong J, Wu S, Bao Y, Li J, Ying H.","Diabetes Res Clin Pract","2025","0168-8227; 1872-8227; ","112283","comparative study; journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-05-31","2025-05-26",NA,NA,"225",NA
"39848674","MED","39848674","10.1136/jnnp-2024-335325","Bridging thrombolysis with tenecteplase versus endovascular thrombectomy alone for large-vessel anterior circulation stroke: a target trial emulation analysis.","Altersberger VL, Kaesmacher J, Churilov L, Yogendrakumar V, Gralla J, Strbian D, Seiffge DJ, Mitchell PJ, Kleinig TJ, Campbell BC, Fischer U.","J Neurol Neurosurg Psychiatry","2025","0022-3050; 1468-330x; ","775-783","journal article; observational study","N","N","N","N","N","N",1,"Y","Y","N","Y","N","2025-01-24","2025-07-16",NA,"8","96",NA
"40534182","MED","40534182","10.1002/art.43296","Comment on:Time-dependent effect of prophylactic trimethoprim-sulfamethoxazole on the incidence of serious infections in ANCA-associated vasculitis: A target trial emulation study.","Cohen Tervaert JW.","Arthritis Rheumatol","2025","2326-5191; 2326-5205; ",NA,"letter","N","N","N","N","N","N",0,"N","N","N","Y","N","2025-06-19","2025-06-18",NA,NA,NA,NA
"40550404","MED","40550404","10.1016/j.jclinepi.2025.111872","Target trial emulation of cardiovascular outcome trials of medications used to treat type 2 diabetes using real-world data: a systematic review of observational studies.","Wang W, Tang WC, Webster-Clark M, Yu OHY, Filion KB.","J Clin Epidemiol","2025","0895-4356; 1878-5921; ","111872","journal article","N","N","N","N","N","N",1,"N","Y","N","Y","N","2025-06-25","2025-06-21",NA,NA,"185",NA
"40522319","MED","40522319","10.1111/hepr.14219","Adjuvant Transarterial Chemoembolization After Truly Curative Resection Does Not Improve Survival of Patients With Hepatocellular Carcinoma at High Risk of Recurrence: A Target Trial Emulation Study.","Su JY, Huang DJ, Liu SP, Xu XL, Chen SC, Ou JJ, Li JR, Yang TX, Li WY, Fan Y, Wen ZC, Chen L, Qin Z, Long BB, Li DZ, Huang JH, Lu YJ, Zhong JC, Zhu HQ, Ma L, Liang XM, Zhong JH.","Hepatol Res","2025","1386-6346; 1872-034x; ",NA,"journal article","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-06-16","2025-06-16",NA,NA,NA,NA
"40677193","MED","40677193","10.3760/cma.j.cn112338-20241105-00694","[Global progress and trend in research of target trial emulation: a bibliometric and visualization analysis].","Long ZL, Zhao HY, Liu ZX, Sun F.","Zhonghua Liu Xing Bing Xue Za Zhi","2025","0254-6450","1262-1268","journal article; english abstract","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-07-19","2025-07-01",NA,"7","46",NA
"PPR1035206","PPR",NA,"10.1101/2025.06.07.25329184","GLP-1 Receptor Agonists vs Alternatives for Alcohol Use Disorder: A Multi-Target Trial Emulation","Rodriguez PJ, Lusk JB, Mehta HB, Levy JF, Kalogeropoulos A, Soneji S, Webber E, Gluckman TJ, Stucky NL.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-06-14","2025-06-11",NA,NA,NA,NA
"40620728","MED","40620728","10.1177/20406207251346914","Hypomethylating agent versus venetoclax combination: an electronic health records-based target trial emulation among Asian elderly patients with newly diagnosed acute myeloid leukaemia in Hong Kong.","Fang Q, Fung CY, Wang J, Lai WH, Wong RSM, Kho BCS, Lau JSM, Mak VWM, Ha CY, Li X, Leung AY.","Ther Adv Hematol","2025","2040-6207; 2040-6215; ","20406207251346914","journal article","N","N","N","N","N","N",0,"Y","Y","N","Y","N","2025-07-09","2025-07-04",NA,NA,"16",NA
"40601818","MED","40601818","10.1093/cid/ciaf344","Target Trial Emulation of Empiric Antibiotics on Clinical Outcomes in Moderately Immunocompromised Patients Hospitalized with Pneumonia.","Saravolatz L, Gandhi TN, Vaughn VM, Ratz D, Horowitz JK, Gupta A, McLaughlin E, Czilok T, Weinmann A, Paje D, Malani AN, Burdick S, Osterholzer D, Flanders SA, Petty LA.","Clin Infect Dis","2025","1058-4838; 1537-6591; ","ciaf344","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-07-07","2025-07-02",NA,NA,NA,NA
"40593099","MED","40593099","10.1038/s41746-025-01803-y","Federated target trial emulation using distributed observational data for treatment effect estimation.","Li H, Zang C, Xu Z, Pan W, Rajendran S, Chen Y, Wang F.","NPJ Digit Med","2025","2398-6352","387","research-article; journal article","Y","Y","Y","Y","N","Y",0,"Y","Y","N","Y","N","2025-07-02","2025-07-01","PMC12214564","1","8",NA
"PPR1021939","PPR",NA,"10.21203/rs.3.rs-6319577/v1","The effect of vaccination on post-COVID-19 major acute cardiac events and mortality: a target trial emulation","Meister T, Maiväli Ü, Tenson K, Tisler A, Kalda R, Suija K, Uusküla A.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-05-21","2025-05-16",NA,NA,NA,1
"PPR1054070","PPR",NA,"10.21203/rs.3.rs-7126343/v1","Comparative Effects of Tirzepatide and Semaglutide on Asthma-Related Complications: A Target Trial Emulation Using the TriNetX Networks","Chen BS, Tang I, Lo J, Huang J, Dong C, Wu CH, Yen F, Wei JCC.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-07-24","2025-07-23",NA,NA,NA,1
